Фраза,Показы,Пиллар,Интент,Тип,Сид,Asset,Статус,Приоритет,ЦелевойURL,Причина
какие профессии можно выбрать после 9 класса,221,C,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
история какие профессии после 11 класса,221,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
профессиональные тесты голланда,221,D,info,top,d07_test_gollanda,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-gollanda/,Именованная методика (RIASEC — рабочее название)
на кого можно пойти учиться мальчику,220,B,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
куда поступить после 11 с егэ информатикой,220,C,info,top,c13_s_informatikoj,main,Создана посадочная,P3,/kuda-postupat-s-informatikoj/,Перечень Минобрнауки → направления (готово)
кем можно стать сдавая биологию,219,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
на кого пойти учиться заочно,219,B,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
на кого пойти учиться в вуз,219,C,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
куда поступить после 11 класса в кирове,219,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда можно поступить бесплатно после 11 класса,219,C,commercial,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
лучший тест на профориентацию,219,D,info,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
